"ordernum","region_abbr","admin_division_code","cpt_type_code","urgency_code","water_type_code","wo_status_code","org_type_code","wq_cpt_type_code","dma_code","street","wutun","term","village","affect_building_no","building_tc","building_en","floor","isrepeatedcomplaint","relateorder","service_content","post","functionary","phone","coordinate_x","coordinate_y","region_receiving_date","create_time","finishtime","dm_update_time","dm_load_time"
"202505178427287554543",HKI,AD_HK_000005,CU_PE_100002,CU_EM_100002,WT_FC_000005,WO_PE_000002,CU_PE_000004,CP_WQ_000003,TWW_UH-DMA01,"","","","","1103044832",水滸坊,Housing Authority Headquarters,"1F",0,"202505178427287554549","(M)(P1) XX街 水滸坊 XF, 水黃;奶白;所有色 管理處袁小姐 TEL:2600 4100/要求到場前通知",E/HKI(D6),Chai Jin,"91235008",819715.108000,817506.370000,2025-05-17 00:00:00.000,2025-05-17 00:00:00.000,2025-05-22 00:00:00.000,2025-12-12 00:00:00.000,2025-12-12 00:00:00.000
"202505178427287551515",HKI,AD_HK_000002,CU_PE_100007,CU_EM_100002,WT_FC_000005,WO_PE_000003,CU_PE_000007,CP_WQ_000005,TWW_UH-DMA01,"","","","","1103122918",寶山閣,Po Shan Mansion,"4F",0,"202505178427287551519",(I)(P1)太古城寶山閣4樓B室食水有黑點;黑粒,E/HKI(D1),Lu Zhishen,"91235011",840652.000000,816263.000000,2025-11-15 00:00:00.000,2025-11-15 00:00:00.000,2025-11-18 00:00:00.000,2026-01-12 20:31:54.471,2026-01-12 20:31:54.471
"202505178427287551523",HKI,AD_HK_000002,CU_PE_100006,CU_EM_100001,WT_FC_000005,WO_PE_000003,CU_PE_000007,CP_WQ_000005,TWW_UH-DMA01,"","","","","1103122935",怡山閣,Yee Shan Mansion,"2F",0,"202505178427287551519",(I)(P1)太古城怡山閣2樓A室食水有黑點;黑粒,E/HKI(D1),Liu Tang,"91235019",840543.000000,816262.000000,2025-11-18 00:00:00.000,2025-11-18 00:00:00.000,2025-11-18 00:00:00.000,2026-01-12 20:31:54.471,2026-01-12 20:31:54.471
"202505178427287551511",HKI,AD_HK_000002,CU_PE_100006,CU_EM_100001,WT_FC_000005,WO_PE_000001,CU_PE_000003,CP_WQ_000005,TWW_UH-DMA01,"","","","","1103122918",寶山閣,Po Shan Mansion,"8F",0,"202505178427287551519",(I)(P1)太古城寶山閣8樓A室食水有黑點;黑粒,E/HKI(D1),Hua Rong,"91235007",840652.000000,816263.000000,2025-11-19 00:00:00.000,2025-11-19 00:00:00.000,2025-11-18 00:00:00.000,2026-01-12 20:31:54.471,2026-01-12 20:31:54.471
"202505178427287551517",HKI,AD_HK_000002,CU_PE_100007,CU_EM_100002,WT_FC_000005,WO_PE_000002,CU_PE_000009,CP_WQ_000003,TWW_UH-DMA01,"","","","","1103122639",鳳山閣,Foong Shan Mansion,"4F",0,"202505178427287551519",(I)(S2)太古城鳳山閣4樓B室食水有怪味;異味;鏽味,E/HKI(D1),Dong Ping,"91235013",840581.000000,816300.000000,2025-11-16 00:00:00.000,2025-11-16 00:00:00.000,2025-11-18 00:00:00.000,2026-01-12 20:31:54.471,2026-01-12 20:31:54.471
"202505161427287554793",HKI,AD_HK_000002,CU_PE_100005,CU_EM_100002,WT_FC_000005,WO_PE_000001,CU_PE_000010,CP_WQ_000007,TAH-DMA02F,"","","","","1103134778",富景花園第６座,Fullview Garden Block 6,"1F",0,"","(M)(P1) XX街 富景花園第６座 XF, 粒粒 管理處袁小姐 TEL:2600 4100/要求到場前通知",E/HKI(SD)2,Kong Liang,"91235209",844050.070310,813673.259770,2025-11-04 00:00:00.000,2025-11-04 00:00:00.000,2025-11-09 00:00:00.000,2025-12-12 00:00:00.000,2025-12-12 00:00:00.000
"202505178427287554517",NTE,AD_HK_000005,CU_PE_100007,CU_EM_100002,WT_PE_000002,WO_PE_000002,CU_PE_000009,CP_WQ_000003,TWW_UH-DMA01,"","","","","1103044972",海堤居第１座,La Costa Block 1,"4F",0,"202505178427287554512","(M)(P1) XX街 海堤居第１座 XF, 怪味;異味;鏽味 管理處袁小姐 TEL:2600 4100/要求到場前通知",E/HKI(D6),Dong Ping,"91235013",819886.517710,817411.551480,2025-04-21 00:00:00.000,2025-04-21 00:00:00.000,2025-04-26 00:00:00.000,2025-12-12 00:00:00.000,2025-12-12 00:00:00.000
"202505161427287554794",K,AD_KL_000003,CU_PE_100005,CU_EM_100002,WT_FC_000005,WO_PE_000001,CU_PE_000010,CP_WQ_000007,TAH-DMA02F,,,,,,,,,0,,"(M)(P1) XX街 XX花園第６座 XF, 粒粒 管理處袁小姐 TEL:2600 4100/要求到場前通知",E/K(SD)2,Kong Liang,"91235209",841190.750000,820243.540000,2025-11-04 00:00:00.000,2025-11-04 00:00:00.000,2025-11-09 00:00:00.000,2025-12-12 00:00:00.000,2025-12-12 00:00:00.000
"202505178427287554553",HKI,AD_HK_000005,CU_PE_100006,CU_EM_100001,WT_PE_000002,WO_PE_000003,CU_PE_000007,CP_WQ_000003,TWW_UH-DMA01,"","","","","1103044860",愉景灣康樂會,Discovery Bay Residents Club,"5F",0,"202505178427287554549","(M)(P1) XX街 愉景灣康樂會 XF, 集水區 管理處袁小姐 TEL:2600 4100/要求到場前通知",E/HKI(D6),Liu Tang,"91235019",819683.359510,817449.025500,2025-05-27 00:00:00.000,2025-05-27 00:00:00.000,2025-06-01 00:00:00.000,2025-12-12 00:00:00.000,2025-12-12 00:00:00.000
"202505178427287554544",HKI,AD_HK_000005,CU_PE_100005,CU_EM_100001,WT_FC_000005,WO_PE_000002,CU_PE_000005,CP_WQ_000002,TWW_UH-DMA01,"","","","","1103044832",水滸坊,Housing Authority Headquarters,"3F",0,"202505178427287554549","(M)(P1) XX街 水滸坊 XF, 水黃;奶白;所有色 管理處袁小姐 TEL:2600 4100/要求到場前通知",E/HKI(D6),Li Ying,"91235009",819715.108000,817506.370000,2025-05-18 00:00:00.000,2025-05-18 00:00:00.000,2025-05-23 00:00:00.000,2025-12-12 00:00:00.000,2025-12-12 00:00:00.000
